text,other,economic.liberal,economic.conservative,campaignfinance.corruption.opengovernment,crime.police,criminaljusticereform,domestic.violence,drugabuse,environment.climatechange,guncontrol.conservative,guncontrol.liberal,healthcare.bipartisan,healthcare.conservative,healthcare.liberal,education.liberal,education.conservative,infrastructure.roads.transportation,king.veterans,lgbt.anti,lgbt.pro,marijuana.anti,marijuana.pro,prochoice.womenshealth,prolife,raceissues.liberal,gerrymandering.anti,voting.conservative,voting.liberal
" @angiebuhl: Think undocumented immigrants don't pay taxes? According to this report, in SD they pay $4.2M a year. ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @Latinos4PP: As #SCOTUS decides the fate of millions of Americans, DREAMers share what they've been dreaming. #IAmAnImmigrant ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"What ever happened to ""love thy neighbor""? #ImmigrationReform #NotOneMore",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @MollyBeck: .@PeterWBarca to @RepSanfelippo: ""You break my heart!"" Says parents came through Ellis Island in 1920.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Send these, the homeless, tempest-tost to me,

I lift my lamp beside the golden door #immigrationreform #WeAreOneWorld",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @TelemundoWI: .@repjocasta anunció cambios a propuesta de ley para inmigrantes que necesitan licensias de conducir en Wisconsin ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @StateDept: .@JohnKerry discussed humanitarian assistance to #Syria in phone call today with Russian FM Lavrov: ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLU Update: Syrian refugee resettlement -- read it here: ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @TheEconomist: Refugees are actually the least likely potential terrorists ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @rebeccakemble: .@LisaSubeck ""We have worked so hard in Madison to build trust between law enforcement &amp; immigrant communities. #AB450 c…",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @MollyBeck: Updated: About 14,000 amass at the Capitol for ""A Day Without Latinos and Immigrants in Wisconsin.""

",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @jasonlknoll: Check out this #infographic created by my student @lghollar about #Syrianrefugees and @VeronaAid ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ICYMI: Officials warn casino compact doesn't protect state ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Over a year ago, I expressed my doubts about the future of an off-reservation gambling expansion in Wisconsin. After the recent Bureau of Indian Affairs decision, those concerns are all the more real. Read our exclusive column at Right Wisconsin:",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
The governor wasted over $2 million in taxpayers money for an analysis of the Kenosha casino proposal by an... ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @WheelerReports: Southeastern WI Legislators: Letter to Gov. Walker regarding Kenosha casino. ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delighted that the State and the Tribe have inked a Menominee Compact Amendment.  Clears the pathway to a ""yes"" decision.  @CasinoKenosha",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statement from Rep. Kerkman on Governor’s Disapproval of Kenosha Casino



“The announcement that Governor Walker has rejected the Kenosha casino comes as a true disappointment.  I am saddened at the loss of potential for Kenosha County and for the State of Wisconsin.  Great strides were made along the path to this determination and I greatly respect the diligence shown by Governor Walker to try to bring us to a more positive decision.  Ultimately, the compact negotiated by Governor Doyle with the Forest County Potawatomi provided more obstacles than could be reasonably overcome in the decision timeframe.  

We need to keep our focus forward. We will continue to explore other opportunities to bring additional jobs to Kenosha and grow opportunity in southeastern Wisconsin through a pro-job and strong business focus.   While this particular option will not move forward, I believe that recent Kenosha boom will spark even more development and look forward to entertaining additional options for growing the Kenosha economy.”",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Members of the Menominee Nation walked over 150 miles to meet with Governor Walker about proposed casino. He refused ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Today's new @CasinoKenosha offer makes what was already a good deal for WI taxpayers a great deal. ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a huge loss to the Racine and Kenosha area. #KenoshaCasino ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tomorrow morning, Gov. Walker will visit Kenosha and I think it is a perfect time for us to sit down together to discuss the Kenosha Casino project and its enormous economic importance to our state. I have invited the Governor to meet with local officials and legislators, the Hard Rock and the Menominee Indian Tribe. Here is the letter I sent the Governor today: ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"On Friday, I spoke with Here and Now about Gov. Walker's leadership failure on the Kenosha Casino project. This was an economic mistake of colossal proportions ... this is clearly a complete failure of leadership that he (Gov. Walker) couldn't get it done. ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker rejects proposed Kenosha casino ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 3000 jobs lost today for Kenosha and Racine bc of Walker's casino decision. He can spin it how he wants, but that is the reality.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @WheelerReports: Southeastern WI Legislators: Letter to Gov. Walker regarding Kenosha casino. ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
We must make sure that our seniors have the necessary care options available. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gov's SeniorCare cuts would raise costs for seniors - WKOW 27: Madison, WI  ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @marcorubio: 31 Days Of Policy: Helping America's Seniors Prosper. 



Click here to learn more: ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @RepBrostoff: Sign the petition to Save SeniorCare here: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Today I joined my Democratic colleagues Sen. Jennifer Shilling, Wisconsin State Representative Dianne Hesselbein and State Senator Julie Lassa in calling for an independent federal investigation and a stop to all veteran nursing home raids by Gov. Walker's administration.



After months of Republican stonewalling, we need immediate action to protect our most vulnerable veterans. We won’t stand by silently as our most decorated veterans risk further injury and neglect in their time of greatest need. 



",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honored to be part of the WI Retirement Security tour today. We need to protect WRS and Social Security! 



Notice, Russ Feingold signed the pledge to protect social security. Ron Johnson did not.



Wisconsin Alliance for Retired Americans",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals - eliminate wait lists - allow consumer choice - allow self direction to managed care,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least one GOP legislator knew about issues at King &amp; still voted to raid veteran nursing home fund. Why? @CapTimes @katelynferral,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @SJohnsonWPR: Here's the Fiscal Bureau's analysis of the GOP plan to finance a new arena for the Milwaukee Bucks: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Today the Milwaukee Bucks arena plan advanced out of the Assembly to Governor Walker. I have been a strong advocate for programs and initiatives that work to create jobs and promote economic prosperity for communities and families in Wisconsin.



Advancing this proposal, however, comes only weeks after we passed a budget that included things like detrimental cuts to public education at every level, dismantling of conservationist and aging and long-term care programs, and attacks on working families and wages.



We must prioritize and provide consistent support to things like public schools before we can begin to consider prioritizing for extraneous projects. Until we can fully fund fundamental public benefits that already exist in our state, I cannot support taxpayer-subsidized sports arenas while things like public education, health care, and working families are on the chopping block.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I heard that the proposed budget had $220 million dollars in it for a proposed arena for the Milwaukee... ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legislators voice concerns over proposed Bucks arena deal: 



",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @gneumann_wkow: ""Today is the day the Assembly is going to pass the Milwaukee County arena."" - @SpeakerVos ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @jimsteineke: Local $'s great for a trolley, not so much for @Bucks arena says @Barrett4MKE File that under #HowNotToGetStateFundingForA…",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is it really cheaper to keep them? ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
About that parking garage contribution to the proposed Bucks arena ... ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is the statement I released explaining my vote against the Bucks' arena deal:



""While I am in favor of bringing additional economic activity to Wisconsin, I found no considerable evidence that a new arena would benefit residents of my district. Constituents in my district echoed this sentiment, and urged that I vote against the deal. Ultimately, I followed my constituents' voices and voted against the Bucks arena deal.""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are concerned about the harmful effects of the governor's budget, please join me tonight at 5 pm at Madison East High School. Representative Chris Taylor and Senator Jon Erpenbach -- members of the Joint Finance Committee are holding a listening session to answer your questions.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"A deal to build a new arena has taken shape between the many involved parties.



",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New study for MMAC says 2,100 jobs will be created outside of the 14,000 construction and arena-related positions.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @tmj4: WATCH LIVE: Bucks officials make major announcement about new arena: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
We need to invest in econ develop't projects across WI. Proud to support #Bucks as I supported projects thru-out WI ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After a lot of consideration &amp; negotiations, I'm proud to say I am a YES on the @Bucks arena deal. @SaveOurBucks ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @NickBohr: New @Bucks arena a big step closer as @GovWalker signs bill. @SenTaylor: Shows ""when Democrats &amp; Republicans work together Wi…",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @GovWalker: Glad to join @bucks for the groundbreaking of the new arena in Mke. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here's a link to the news conference from yesterday on the arena announcment.  #CheapertoKeepThem,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vos 'really confident' on Bucks deal ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Looks like progress. Alternative Bucks arena funding plan floated ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucks Arena - back in simpler times...  ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @jimsteineke: Great to see the @Bucks putting meat on bones of arena plan. A long road still ahead. Waiting to hear realistic plan for $…,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB 209, Arena bill, is officially on its way to @GovWalker. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build the Future with your Milwaukee Bucks tonight! This is a great opportunity for our local tradesmen! @Bucks ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senator Risser Statement on Governor’s Budget Bill



Governor Walker’s budget proposal is clearly aimed at a national audience at the expense of the citizens of our state.  



The Governor proposes to borrowing $1.3 billion to build new highways for two years while our public schools crumble.  



Public education is the state’s biggest and most important investment yet Governor Walker proposes gutting the University of Wisconsin by $300 million.  This is in stark contrast with the Republican governors of other Midwestern states, notably Ohio, Indiana and Iowa, which are increasing their funding for higher education.  



Also, Wisconsin is now the only Great Lakes state to refuse federal funds to strengthen our Medicaid program.  Accepting federal healthcare dollars could help prevent funding cuts to local schools, public health, police and fire services, local infrastructure repair, and many other important programs and services.  

 

###",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glad Bucks are giving impoverished MKE written guarantees &amp; not verbal agreements! How about Minority Contracting? ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good news on arena deal progress from @MKEBizJournal: Bond sale for #Milwaukee @Bucks arena deemed a success ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @repvos: 10 Reasons to Love (or at Least Make Peace With) the Arena Deal ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88% of citizens who voted on Right Wisconsin are in favor of the proposal for a new Milwaukee Bucks arena. #CheaperToKeepThem #WIRight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @SaveOurBucks: While vote not done yet, let's thank @SpeakerVos for going out on limb to drive arena plan last three months. Please Favo…",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bucks arena plan goes to Assembly but support for it is unknown: 



",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gov. Walker announces funding plan for #bucksarena. More details to follow. #wiright ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @DavidAdeCBS58: @PeterWBarca says by pulling Bucks plan out of budget, chances of passing plan and keeping Bucks in Wisconsin ""goes down…",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We'll collect $6.5 million in taxes, as compared to $3.5 million we pay per year -- that was really important for Assembly Democrats #Bucks",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
It IS cheaper to keep them. #Bucks #bucksarena ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88% of citizens who voted on @RightWisconsin are in favor of the plan for a new @Bucks arena. #CheaperToKeepThem ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.@GovWalker is signing the @maccfund license plate bill today. Thanks to @stevenovak16 for his support! #FearTheDeer ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SenFitzgerald @SenShilling @Sen Darling  thanks for your important part to make the arena deal happen today!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
My op-ed on the Bucks arena proposal. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @Martin2Cool: !!!!!!  @SenTaylor: Gov. Walker signs Bucks arena bill! Great day for Milwaukee and the whole state.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.@WFBurkley Thank you - but we had a great bipartisan team to #SaveOurBucks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was great to be part of the bill signing ceremony for the new Milwaukee Bucks arena. It is cheaper to keep them and I am proud of the bipartisan support that it received.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopping by the Bucks groundbreaking before doors.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do basketball arenas spur econ. development, or not? The answer may surprise you: ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Milwaukee succeeds the rest of us succeed as well - @LisaSubeck on #Bucks Arena vote.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Irish_JenQuinn @briansikma if the bucks were to relocate, it would leave a big hole in budget, meaning less money for education.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here is some more info on the proposed Bucks arena deal: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had the opportunity to meet Jason Kidd during his visit to the Capitol today! ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucks arena deal could be announced today or tomorrow: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thank you to Mr. Holter and the students of his Business and Marketing Education class at West Salem High School for inviting me to speak with them today. It was great to talk with such bright, enthusiastic students about the new Bucks arena.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
My office issued the following press release regarding my vote on the Bucks arena proposal: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
The @Bucks have a home in Milwaukee. My statement on today's lease agreement announcement: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @drdavidsamadi: My heart is heavy after hearing about the tragic events in #Paris.  RIP to all the innocent lives lost. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Committee on Rural Broadband is meeting right now.  Watch on www.wiseye.com.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sad to see that Wisconsin ranks 49th amongst states (and DC) when it comes to internet speeds. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Time to invest in rural broadband access"" @SenJulieLassa  via @StevensPointJrl at ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proud to introduce my first bill of the 2015-2016 session: rural broadband expansion ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're going to continue to push as far as we can. Broadband is becoming essential to function in today's society.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Discussing ""Connectivity in Western Wisconsin"" this past Monday in Mauston, Wisconsin:",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @jessieopie: .@PeterWBarca thinks GOP could support rural broadband, entrepreneurial assistance grants, small biz assistance proposals #…",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investing in broadband should be a priority for every single legislator in Wisconsin -- Democratic proposal would make meaningful investment,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great interview with my friend Don Sidlowski “@LaurenWJFW: Governor Walker's budget to add rural broadband @WJFW12 

",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
The state Public Service Commission (PSC) is currently collecting feedback on broadband connections. Please share your thoughts on your residential internet connection and how it might be improved. Expanded broadband access is a necessity! (Business internet survey here: ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
The budget my legislative colleagues and I crafted included increased funding for rural broadband service. I am proud of our work as we tripled the amount of grants available.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sad to see that Wisconsin ranks 49th amongst states (and DC) when it comes to internet speeds. 



",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take the State Broadband Survey and Read My Taiwan Field Notes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @russfeingold: ""Russ called for the federal gov. to treat broadband internet service as a public utility."" ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senator Howard Marklein, Senator Jon Erpenbach, Representative Dave Considine, and I recently helped Reedsburg Utility Commission get a broadband expansion grant:",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sen. Kathleen Vinehout - Senate District 31 is right about broadband in Wisconsin and it's an issues I've heard a lot about as well. Increasing broadband access and capacity is a smart investment that will help residents and businesses compete in today's economy. Let's invest in broadband infrastructure, create jobs and help to move Wisconsin communities forward!",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am chairing the Study Committee on Rural Broadband today from 10 a.m. - 4 p.m.  Watch on ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tens of millions in broadband infrastructure grants have been rejected by Gov. Walker and legislative Republicans since 2011. In order to expand economic opportunities and close the digital divide, we need more than window dressing.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @MacIverWisc: BREAKING: @SenFitzgerald says #gastax hike is a “nonstarter” in the Senate. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @patrickdmarley: .@ScottWalker tells @MarkBellingShow there is no wiggle room in his pledge opposing gas tax increases.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @gneumann_wkow: .@GovWalker holds line on saying no gas tax hike or increased vehicle registration fees in budget. @SpeakerVos supports …,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our column on funding WI's transportation budget: ""Raising the Gas Tax a Nonstarter for Wisconsin Families:"" ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
We need to live within our means. We need to focus on maintenance &amp; safety - not borrowing for unneeded expansions. #WIright,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @GovWalker: Our transportation budget includes no gas tax or fee increase. Those who want to spend more should tell voters where it's co…,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice article in the Platteville Journal. 



I will note that I do not support a tax on off-road diesel fuel as a funding source for roads. I simply gave it as an example of an instance in which some citizens were in favor of a tax increase.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @news3jessica: .@SpeakerVos, @rep89 ask @SenDarling to ""walk statements back"" saying ldrs threatening Zoo int to force gas tax hike ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Even Robin Vos, Republican speaker, disagrees with Walker on roads.  It only makes common sense that heavy use vehicles *that pay for more gas* pay more for the roads they use heavily.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Westport supervisor explaining they would like North Mendota Parkway and he's personally for raising gas tax #justfixitwi,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @SpeakerVos: @RepKulp to release report from Speaker's Task Force on Youth Workforce Readiness this morning. #wilegis,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
 @SpeakerVos: The first hearing for the Speaker's Task Force on Youth Workforce Readiness has been set.  @RepKulp ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
 @SenShilling: #SOTSWI highlighted legislation @RepShankland &amp; I authored last session to improve worker training for individuals with di…,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are over 88,000 job openings across the state of Wisconsin, and we can fill them through better education. ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @GwynGuenther: Asm GOP Media Avail: @AdamNeylonPress says closing the skills gap means investing in the next generation of workers.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Another round of Wisconsin Fast Forward Grants are now available to help get workers trained faster in high-demand fields.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
#skillsgap - labor market needs graduates w technical interpersonal and intrapersonal skills,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"It’s not that we don’t have enough jobs available, it’s that we don’t have enough skilled workers to fill them. ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"If only they moved quickly on jobs and workforce training.  Its only been years since they said they would ""focus on jobs like a laser"".  Instead they have focused on putting politicians above the law, getting rid of a non-partisan government watchdog agency, and allowing more dark money into our elections.  It really isn't a surprise then that the GOP wants to fill state government with their cronies and fire those workers who don't believe as they do.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll be on Wisconsin Public Radio from 3:15 to 3:30 today (Labor Day) talking about the Workforce Readiness... ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
#skillsgap - we must support centers for teaching and learning and career centers on campuses,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Newson: School-to-work training works ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
" @SpeakerVos: The Speaker's Task Force on Youth Workforce Readiness toured Cardinal Manufacturing, a business in a high school.

",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
#skillsgap - valued skills - technical ability + work ethic + lifelong learning + technical knowledge  + problem solving,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Attended the Governor's Council on Workforce Investment today in Madison and heard a deeply depressing presentation by the state's economist about the current and future state of WI's workforce as the population ages and the number of people of working age flat lines.  I took the opportunity to point out that we had great ideas in CWI's 10 year workforce plan related to public K-12 schools, universities and tech colleges to help build our workforce but that if Governor Walker's proposed budget goes through these schools/universities/tech colleges won't have money to implement them or they will have to cut other key programs.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks to the bipartisan committee members for their work on the important issue of attracting more workers to careers in the trades.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied Data Consultants, Inc. hosted a meeting on Fast Forward, the bill I authored to help address the skills gap. It's exciting to see how this program is working for Wisconsin workers and business. (I'm wearing a sweatshirt because I came directly from the Special Kids Day at Lake Wissota State Park.)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
" @RepKulp: Today is our first meeting on the Taskforce for Workforce Readiness, watch at

",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Jobs, trades and internship session with NWTC administration this morning .  Continuing to do more to integrate WIsconsin education for career and community readiness!! Creating more tax payers and less taxes!! #thinkWisconsinFirst #WiFi",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
