cluster,topic,result,lag,f_statistic,p_value
5,voting: liberal,no relationship,4,NA,NA
5,guns: conservative,no relationship,4,NA,NA
5,abortion and women's issues: conservative,no relationship,4,NA,NA
5,education: conservative,no relationship,7,NA,NA
5,guns: liberal,no relationship,7,NA,NA
5,voting: conservative,no relationship,4,NA,NA
5,veterans issues: bipartisan,no relationship,4,NA,NA
5,drug abuse: bipartisan,no relationship,7,NA,NA
5,infrastructure: liberal,no relationship,7,NA,NA
5,cannabis: liberal,no relationship,1,NA,NA
5,lgbtq+ issues: conservative,no relationship,1,NA,NA
5,crime and police: conservative,no relationship,4,NA,NA
5,healthcare: bipartisan,no relationship,4,NA,NA
5,criminal justice reform: liberal,no relationship,4,NA,NA
6,other,no relationship,1,NA,NA
6,education: liberal,no relationship,1,NA,NA
6,gerrymandering: liberal,no relationship,1,NA,NA
6,economy: liberal,no relationship,1,NA,NA
6,environment: liberal,no relationship,1,NA,NA
6,economy: conservative,no relationship,1,NA,NA
6,healthcare: liberal,no relationship,1,NA,NA
6,abortion and women's issues: liberal,no relationship,1,NA,NA
6,lgbtq+ issues: liberal,no relationship,1,NA,NA
6,race issues: liberal,no relationship,1,NA,NA
6,healthcare: conservative,no relationship,1,NA,NA
6,governance: liberal,no relationship,1,NA,NA
6,domestic violence: bipartisan,no relationship,1,NA,NA
6,voting: liberal,no relationship,1,NA,NA
6,guns: conservative,no relationship,1,NA,NA
6,abortion and women's issues: conservative,access,2,14.182867967160027,9.282156938812116e-7
6,education: conservative,no relationship,1,NA,NA
6,guns: liberal,no relationship,1,NA,NA
6,voting: conservative,no relationship,1,NA,NA
6,veterans issues: bipartisan,no relationship,1,NA,NA
6,drug abuse: bipartisan,no relationship,1,NA,NA
6,infrastructure: liberal,no relationship,1,NA,NA
6,cannabis: liberal,no relationship,1,NA,NA
6,lgbtq+ issues: conservative,no relationship,1,NA,NA
6,crime and police: conservative,no relationship,1,NA,NA
6,healthcare: bipartisan,no relationship,1,NA,NA
6,criminal justice reform: liberal,no relationship,1,NA,NA
7,other,no relationship,7,NA,NA
7,education: liberal,no relationship,1,NA,NA
7,gerrymandering: liberal,no relationship,7,NA,NA
7,economy: liberal,no relationship,7,NA,NA
7,environment: liberal,no relationship,1,NA,NA
7,economy: conservative,no relationship,1,NA,NA
7,healthcare: liberal,no relationship,6,NA,NA
7,abortion and women's issues: liberal,no relationship,1,NA,NA
7,lgbtq+ issues: liberal,no relationship,3,NA,NA
7,race issues: liberal,no relationship,1,NA,NA
7,healthcare: conservative,no relationship,1,NA,NA
7,governance: liberal,no relationship,6,NA,NA
7,domestic violence: bipartisan,no relationship,1,NA,NA
7,voting: liberal,no relationship,7,NA,NA
7,guns: conservative,no relationship,2,NA,NA
7,abortion and women's issues: conservative,no relationship,1,NA,NA
7,education: conservative,no relationship,1,NA,NA
7,guns: liberal,no relationship,1,NA,NA
7,voting: conservative,no relationship,1,NA,NA
7,veterans issues: bipartisan,no relationship,1,NA,NA
7,drug abuse: bipartisan,consumption,7,5.682499996694179,2.171706369725666e-6
7,infrastructure: liberal,no relationship,1,NA,NA
7,cannabis: liberal,no relationship,1,NA,NA
7,lgbtq+ issues: conservative,no relationship,1,NA,NA
7,crime and police: conservative,no relationship,1,NA,NA
7,healthcare: bipartisan,no relationship,1,NA,NA
7,criminal justice reform: liberal,no relationship,3,NA,NA
8,other,no relationship,7,NA,NA
8,education: liberal,no relationship,7,NA,NA
8,gerrymandering: liberal,no relationship,1,NA,NA
8,economy: liberal,no relationship,1,NA,NA
8,environment: liberal,no relationship,1,NA,NA
8,economy: conservative,no relationship,1,NA,NA
8,healthcare: liberal,no relationship,1,NA,NA
8,abortion and women's issues: liberal,no relationship,1,NA,NA
8,lgbtq+ issues: liberal,no relationship,7,NA,NA
8,race issues: liberal,no relationship,1,NA,NA
8,healthcare: conservative,no relationship,1,NA,NA
8,governance: liberal,no relationship,7,NA,NA
8,domestic violence: bipartisan,no relationship,1,NA,NA
8,voting: liberal,no relationship,7,NA,NA
8,guns: conservative,no relationship,1,NA,NA
8,abortion and women's issues: conservative,no relationship,1,NA,NA
8,education: conservative,no relationship,1,NA,NA
8,guns: liberal,no relationship,1,NA,NA
8,voting: conservative,no relationship,2,NA,NA
8,veterans issues: bipartisan,no relationship,7,NA,NA
8,drug abuse: bipartisan,no relationship,1,NA,NA
8,infrastructure: liberal,no relationship,1,NA,NA
8,cannabis: liberal,no relationship,1,NA,NA
8,lgbtq+ issues: conservative,no relationship,1,NA,NA
8,crime and police: conservative,no relationship,1,NA,NA
8,healthcare: bipartisan,no relationship,1,NA,NA
8,criminal justice reform: liberal,no relationship,1,NA,NA
9,other,no relationship,7,NA,NA
9,education: liberal,no relationship,1,NA,NA
9,gerrymandering: liberal,no relationship,3,NA,NA
9,economy: liberal,no relationship,1,NA,NA
9,environment: liberal,no relationship,1,NA,NA
9,economy: conservative,no relationship,3,NA,NA
9,healthcare: liberal,no relationship,1,NA,NA
9,abortion and women's issues: liberal,no relationship,1,NA,NA
9,lgbtq+ issues: liberal,no relationship,1,NA,NA
9,race issues: liberal,no relationship,1,NA,NA
9,healthcare: conservative,no relationship,1,NA,NA
9,governance: liberal,no relationship,6,NA,NA
9,domestic violence: bipartisan,no relationship,1,NA,NA
9,voting: liberal,no relationship,1,NA,NA
9,guns: conservative,no relationship,1,NA,NA
9,abortion and women's issues: conservative,no relationship,1,NA,NA
9,education: conservative,no relationship,1,NA,NA
9,guns: liberal,no relationship,1,NA,NA
9,voting: conservative,no relationship,1,NA,NA
9,veterans issues: bipartisan,no relationship,1,NA,NA
9,drug abuse: bipartisan,no relationship,1,NA,NA
9,infrastructure: liberal,no relationship,1,NA,NA
9,cannabis: liberal,no relationship,1,NA,NA
9,lgbtq+ issues: conservative,no relationship,1,NA,NA
9,crime and police: conservative,no relationship,1,NA,NA
9,healthcare: bipartisan,no relationship,1,NA,NA
9,criminal justice reform: liberal,no relationship,1,NA,NA
10,other,no relationship,7,NA,NA
10,education: liberal,no relationship,7,NA,NA
10,gerrymandering: liberal,no relationship,2,NA,NA
10,economy: liberal,no relationship,7,NA,NA
10,environment: liberal,no relationship,7,NA,NA
10,economy: conservative,no relationship,7,NA,NA
10,healthcare: liberal,no relationship,7,NA,NA
10,abortion and women's issues: liberal,no relationship,2,NA,NA
10,lgbtq+ issues: liberal,no relationship,3,NA,NA
10,race issues: liberal,no relationship,2,NA,NA
10,healthcare: conservative,no relationship,7,NA,NA
10,governance: liberal,no relationship,7,NA,NA
10,domestic violence: bipartisan,no relationship,2,NA,NA
10,voting: liberal,no relationship,2,NA,NA
10,guns: conservative,no relationship,2,NA,NA
10,abortion and women's issues: conservative,no relationship,7,NA,NA
10,education: conservative,no relationship,3,NA,NA
10,guns: liberal,no relationship,2,NA,NA
10,voting: conservative,no relationship,2,NA,NA
10,veterans issues: bipartisan,no relationship,7,NA,NA
10,drug abuse: bipartisan,no relationship,7,NA,NA
10,infrastructure: liberal,no relationship,7,NA,NA
10,cannabis: liberal,no relationship,2,NA,NA
10,lgbtq+ issues: conservative,no relationship,1,NA,NA
10,crime and police: conservative,no relationship,7,NA,NA
10,healthcare: bipartisan,no relationship,7,NA,NA
10,criminal justice reform: liberal,no relationship,8,NA,NA
11,other,no relationship,7,NA,NA
11,education: liberal,no relationship,7,NA,NA
11,gerrymandering: liberal,no relationship,7,NA,NA
11,economy: liberal,no relationship,7,NA,NA
11,environment: liberal,no relationship,7,NA,NA
11,economy: conservative,no relationship,7,NA,NA
11,healthcare: liberal,no relationship,7,NA,NA
11,abortion and women's issues: liberal,no relationship,7,NA,NA
11,lgbtq+ issues: liberal,no relationship,7,NA,NA
11,race issues: liberal,no relationship,7,NA,NA
11,healthcare: conservative,no relationship,7,NA,NA
11,governance: liberal,no relationship,7,NA,NA
11,domestic violence: bipartisan,no relationship,7,NA,NA
11,voting: liberal,no relationship,7,NA,NA
11,guns: conservative,no relationship,8,NA,NA
11,abortion and women's issues: conservative,no relationship,1,NA,NA
11,education: conservative,no relationship,7,NA,NA
11,guns: liberal,no relationship,7,NA,NA
11,voting: conservative,no relationship,1,NA,NA
11,veterans issues: bipartisan,no relationship,7,NA,NA
11,drug abuse: bipartisan,no relationship,7,NA,NA
11,infrastructure: liberal,consumption,7,5.819204153234457,1.4590934761230809e-6
11,cannabis: liberal,no relationship,7,NA,NA
11,lgbtq+ issues: conservative,no relationship,1,NA,NA
11,crime and police: conservative,no relationship,7,NA,NA
11,healthcare: bipartisan,no relationship,7,NA,NA
11,criminal justice reform: liberal,no relationship,7,NA,NA
12,other,no relationship,7,NA,NA
12,education: liberal,no relationship,7,NA,NA
12,gerrymandering: liberal,no relationship,7,NA,NA
12,economy: liberal,no relationship,7,NA,NA
12,environment: liberal,no relationship,7,NA,NA
12,economy: conservative,no relationship,7,NA,NA
12,healthcare: liberal,no relationship,7,NA,NA
12,abortion and women's issues: liberal,no relationship,7,NA,NA
12,lgbtq+ issues: liberal,no relationship,7,NA,NA
12,race issues: liberal,no relationship,7,NA,NA
12,healthcare: conservative,no relationship,7,NA,NA
12,governance: liberal,no relationship,7,NA,NA
12,domestic violence: bipartisan,no relationship,7,NA,NA
12,voting: liberal,no relationship,7,NA,NA
12,guns: conservative,no relationship,7,NA,NA
12,abortion and women's issues: conservative,no relationship,7,NA,NA
12,education: conservative,no relationship,7,NA,NA
12,guns: liberal,no relationship,7,NA,NA
12,voting: conservative,no relationship,7,NA,NA
12,veterans issues: bipartisan,no relationship,7,NA,NA
12,drug abuse: bipartisan,no relationship,7,NA,NA
12,infrastructure: liberal,no relationship,7,NA,NA
12,cannabis: liberal,no relationship,7,NA,NA
12,lgbtq+ issues: conservative,no relationship,1,NA,NA
12,crime and police: conservative,no relationship,7,NA,NA
12,healthcare: bipartisan,no relationship,7,NA,NA
12,criminal justice reform: liberal,no relationship,7,NA,NA
